name,equipment_cat,body_part,difficulty,gif_url
Jog,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1/male/l/1_1.jpg
Single Arm Press - Iso Arms,basic,general,intermediate,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/male/l/6_1.jpg
Cannonball Crunch,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/9/male/l/9_1.jpg
Hip Thrust DB,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/231/male/l/231_1.jpg
Wide Grip Incline Benchpress,basic,general,beginner,https://www.bodybuilding.com/exercises/exerciseImages/sequences/47/male/l/47_1.jpg
Close Grip Pull Up,basic,general,intermediate,
Ring Rear Delt Flies,basic,general,beginner,
Glute Bridge (Machine),basic,general,beginner,
Massive Curls,basic,general,intermediate,
Triceps Push-Up,basic,general,intermediate,
Lateral Leg Raises,basic,general,beginner,
Short-Lever Copenhagen,basic,general,beginner,
Weighted Hanging Oblique Knee Raise,basic,general,intermediate,
Reverse Lunge (Barbell),basic,general,beginner,
Rope Hammer Curl,basic,general,beginner,
Calf Raise Smith Machine,basic,general,intermediate,
(BACK) Landmine T Bar Row,basic,general,intermediate,
Plate Pinch,basic,general,beginner,
(CHEST) Flat Dumbbell Bench Press,basic,general,intermediate,
Banded External Rotation,basic,general,beginner,
Sternum Row,basic,general,intermediate,
Hammer Curl (TRX),basic,general,beginner,
Seated Dumbbell Curl,basic,general,beginner,
Inverse DB Zottman Curl,basic,general,beginner,
Hands on Hips Countermovement Jump,basic,general,beginner,
Line Hops,basic,general,intermediate,
Goblet Squats (Cable),basic,general,intermediate,
Wrist Figure 8s w/ Light Plate,basic,general,beginner,
Superman Alternating Sides,basic,general,beginner,
Side-Lying Clamshells,basic,general,beginner,
Cable Wrist Curls (12-15),basic,general,beginner,
Reverse Curl Cable,basic,general,beginner,
Dynamic Med Ball Soccer Toss,basic,general,intermediate,
Tibialis Raises,basic,general,beginner,
Lateral Raise (Dumbbell),basic,general,beginner,
Sissy Squat,basic,general,intermediate,
Drag Curl,basic,general,beginner,
One Arm Overhead Carry with March,basic,general,beginner,
Elevated Bulgarian Split Squat,basic,general,advanced,
Kettlebell Swings,basic,general,intermediate,
Farmer's Walk (Weighted),basic,general,beginner,
Banded Overhead Squat,basic,general,beginner,
Shrug (Cable),basic,general,beginner,
Power Skips 20yds,basic,general,intermediate,
Preacher Crunch,basic,general,intermediate,
Zottman Curls,basic,general,beginner,
Pallof Press Holds,basic,general,beginner,
Tire Flip,basic,general,intermediate,
Upper Push Accessory 2,basic,general,intermediate,
Resistance Band Chest Fly,basic,general,intermediate,
Dip (Bodyweight),basic,general,intermediate,
Low To High Cable Fly,basic,general,intermediate,
Split Squat,basic,general,beginner,
Etupunnerrus,basic,general,beginner,
Curl Up (McGill),basic,general,intermediate,
Wide Grip Chest Supported Row,basic,general,beginner,
Bench(BB),basic,general,intermediate,
Upright Row (Barbell),basic,general,intermediate,
Machine Crunch,basic,general,beginner,
Sprint 4 Min Recover 4 Min 4 Time,basic,general,beginner,
Hip Thrust (Dumbbell),basic,general,beginner,
Neutral Grip Bench,basic,general,intermediate,
Butterfly DB,basic,general,beginner,
Step-Up (Weighted),basic,general,beginner,
Fly Press (Dumbbell),basic,general,intermediate,
(LEGS) 45 Degree Leg Press,basic,general,intermediate,
Arm Hauler,basic,general,intermediate,
Freemotion Cable Curl,basic,general,intermediate,
Dump The Buckets,basic,general,intermediate,
Dumbbell Row,basic,general,beginner,
MAG Narrow Supine Cable Row,basic,general,beginner,
Concentration Curl,basic,general,intermediate,
Smith Hack Squat,basic,general,beginner,
Single Arm Kettlebell Swing,basic,general,beginner,
Kneeling Behind Head Cable Curl,basic,general,beginner,
Dumbbell Hammer And Standard Curl,basic,general,intermediate,
Band Tricep Pushdown,basic,general,beginner,
Single Arm Cable Row,basic,general,intermediate,
RDL (Smith Machine),basic,general,beginner,
Seated Tricep Press (Dumbbell),basic,general,intermediate,
Cable Tricep Push Away,basic,general,beginner,
Break Day,basic,general,beginner,
Side Crunch (Cable),basic,general,beginner,
Hack Squat,basic,general,intermediate,
Tibialis,basic,general,beginner,
Abs,basic,general,intermediate,
Half Kneeling Arnold Press (Dumbbell),basic,general,beginner,
M Drill,basic,general,intermediate,
Squat Pin Presses,basic,general,beginner,
AD Press,basic,general,advanced,
Triceps press,basic,general,advanced,
Kettlebell Sumo High Pull,basic,general,beginner,
Reverse Forearm Curls,basic,general,intermediate,
Plate pinch,basic,general,beginner,
Seated Triceps Push Down,basic,general,beginner,
High To Low Cable Flyes,basic,general,intermediate,
Air Cycling,basic,general,intermediate,
Tricep Pressdown 2 (Cable),basic,general,beginner,
Rock Bar Overhead Swings,basic,general,intermediate,
10km Row,basic,general,beginner,
Reverse Fly (Machine),basic,general,beginner,
Preacher Curl - Hammer Strength,basic,general,intermediate,
Smith Machine Upright Rows,basic,general,intermediate,
Lat Pulldown (Close Grip),basic,general,beginner,
Elliptical Machine,basic,general,beginner,
Band Wrist Flexion,basic,general,intermediate,
Body Weight Row On Barbell,basic,general,intermediate,
Pike Pushup (Feet Elevated),basic,general,intermediate,
(BACK) Iso Row (Upper Back Focused),basic,general,intermediate,
Fly Into Press,basic,general,beginner,
Isometric Row Hold (Dumbbell),basic,general,beginner,
Unilateral Hip Adductor,basic,general,beginner,
Isolation Work (Optional),basic,general,beginner,
Step downs,basic,general,beginner,
